,n_placement,n_step,placed_dev,reward,HPWL,congestion,action,legalized_action
0,0,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
1,0,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
2,0,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
3,1,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
4,1,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
5,1,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
6,2,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
7,2,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
8,2,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
9,3,0,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
10,3,1,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
11,3,2,XM5,-3416.987345946814,3188.0,52435.204603765946,"(662, 617, 180)","(662.0, 617.0, 180)"
12,4,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
13,4,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
14,4,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
15,5,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 338.0, 180)"
16,5,1,XM5,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
17,5,2,XDL_XM3_XM4,-2905.4051852605644,2725.0,32546.030868898575,"(662, 617, 180)","(662.0, 617.0, 180)"
18,6,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
19,6,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
20,6,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
21,7,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
22,7,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
23,7,2,XM5,-3418.919517171891,3188.0,53323.82341089936,"(662, 617, 180)","(662.0, 617.0, 180)"
24,8,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
25,8,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
26,8,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
27,9,0,XM5,0.0,0.0,0.0,"(662, 617, 180)","(662.0, 896.0, 180)"
28,9,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1022.5, 617.0, 180)"
29,9,2,XDP_XM1_XM2,-2905.568093836277,2775.0,17048.0271280389,"(662, 617, 180)","(662.0, 617.0, 180)"
30,10,0,XDP_XM1_XM2,0.0,0.0,0.0,"(662, 617, 180)","(647.5, 896.0, 180)"
31,10,1,XDL_XM3_XM4,0.0,0.0,0.0,"(662, 617, 180)","(1008.0, 617.0, 180)"
